time,pos_x,pos_y,vel_x,vel_y
0.000000,6670991.043390,7500.000000,-8.956610,7500.000000
1.000000,6670973.130164,14999.989930,-17.913226,7499.989930
2.000000,6670946.260324,22499.959721,-26.869840,7499.969791
3.000000,6670910.433884,29999.899303,-35.826441,7499.939582
4.000000,6670865.650864,37499.798606,-44.783019,7499.899303
5.000000,6670811.911299,44999.647561,-53.739565,7499.848954
6.000000,6670749.215231,52499.436097,-62.696068,7499.788536
7.000000,6670677.562712,59999.154145,-71.652519,7499.718048
8.000000,6670596.953804,67498.791635,-80.608908,7499.637490
9.000000,6670507.388580,74998.338497,-89.565224,7499.546862
10.000000,6670408.867122,82497.784663,-98.521458,7499.446165
11.000000,6670301.389522,89997.120060,-107.477600,7499.335398
12.000000,6670184.955882,97496.334622,-116.433640,7499.214561
13.000000,6670059.566313,104995.418276,-125.389569,7499.083655
14.000000,6669925.220938,112494.360955,-134.345375,7498.942679
15.000000,6669781.919889,119993.152588,-143.301050,7498.791633
16.000000,6669629.663306,127491.783106,-152.256583,7498.630518
17.000000,6669468.451342,134990.242440,-161.211964,7498.459333
18.000000,6669298.284157,142488.520519,-170.167184,7498.278079
19.000000,6669119.161924,149986.607275,-179.122233,7498.086756
20.000000,6668931.084824,157484.492639,-188.077101,7497.885364
21.000000,6668734.053047,164982.166541,-197.031777,7497.673902
22.000000,6668528.066795,172479.618913,-205.986252,7497.452372
23.000000,6668313.126279,179976.839685,-214.940516,7497.220772
24.000000,6668089.231720,187473.818789,-223.894559,7496.979104
25.000000,6667856.383349,194970.546155,-232.848371,7496.727367
26.000000,6667614.581406,202467.011716,-241.801943,7496.465561
27.000000,6667363.826143,209963.205403,-250.755263,7496.193687
28.000000,6667104.117819,217459.117148,-259.708324,7495.911744
29.000000,6666835.456706,224954.736881,-268.661113,7495.619734
30.000000,6666557.843084,232450.054536,-277.613622,7495.317655
31.000000,6666271.277242,239945.060044,-286.565841,7495.005508
32.000000,6665975.759483,247439.743338,-295.517760,7494.683294
33.000000,6665671.290114,254934.094350,-304.469368,7494.351012
34.000000,6665357.869458,262428.103012,-313.420656,7494.008662
35.000000,6665035.497844,269921.759258,-322.371615,7493.656246
36.000000,6664704.175611,277415.053020,-331.322233,7493.293762
37.000000,6664363.903110,284907.974232,-340.272501,7492.921212
38.000000,6664014.680700,292400.512826,-349.222410,7492.538594
39.000000,6663656.508752,299892.658737,-358.171949,7492.145911
40.000000,6663289.387644,307384.401897,-367.121108,7491.743161
41.000000,6662913.317766,314875.732242,-376.069877,7491.330345
42.000000,6662528.299519,322366.639705,-385.018248,7490.907463
43.000000,6662134.333310,329857.114221,-393.966208,7490.474516
44.000000,6661731.419560,337347.145724,-402.913750,7490.031503
45.000000,6661319.558698,344836.724149,-411.860862,7489.578425
46.000000,6660898.751163,352325.839431,-420.807535,7489.115282
47.000000,6660468.997403,359814.481506,-429.753759,7488.642075
48.000000,6660030.297879,367302.640310,-438.699525,7488.158803
49.000000,6659582.653058,374790.305777,-447.644821,7487.665468
50.000000,6659126.063420,382277.467846,-456.589638,7487.162068
51.000000,6658660.529453,389764.116451,-465.533967,7486.648605
52.000000,6658186.051657,397250.241529,-474.477797,7486.125079
53.000000,6657702.630539,404735.833019,-483.421118,7485.591490
54.000000,6657210.266618,412220.880857,-492.363921,7485.047838
55.000000,6656708.960423,419705.374980,-501.306195,7484.494123
56.000000,6656198.712492,427189.305327,-510.247931,7483.930347
57.000000,6655679.523374,434672.661836,-519.189119,7483.356509
58.000000,6655151.393626,442155.434446,-528.129748,7482.772610
59.000000,6654614.323816,449637.613095,-537.069809,7482.178649
60.000000,6654068.314524,457119.187723,-546.009293,7481.574628
61.000000,6653513.366336,464600.148270,-554.948188,7480.960547
62.000000,6652949.479851,472080.484675,-563.886485,7480.336405
63.000000,6652376.655677,479560.186879,-572.824175,7479.702204
64.000000,6651794.894430,487039.244822,-581.761246,7479.057943
65.000000,6651204.196740,494517.648446,-590.697690,7478.403624
66.000000,6650604.563244,501995.387692,-599.633497,7477.739246
67.000000,6649995.994588,509472.452501,-608.568655,7477.064810
68.000000,6649378.491432,516948.832817,-617.503157,7476.380316
69.000000,6648752.054441,524424.518581,-626.436991,7475.685764
70.000000,6648116.684294,531899.499737,-635.370147,7474.981156
71.000000,6647472.381678,539373.766227,-644.302616,7474.266491
72.000000,6646819.147289,546847.307997,-653.234389,7473.541770
73.000000,6646156.981836,554320.114990,-662.165454,7472.806993
74.000000,6645485.886034,561792.177151,-671.095801,7472.062161
75.000000,6644805.860612,569263.484424,-680.025422,7471.307274
76.000000,6644116.906305,576734.026757,-688.954306,7470.542332
77.000000,6643419.023862,584203.794093,-697.882444,7469.767337
78.000000,6642712.214038,591672.776381,-706.809824,7468.982288
79.000000,6641996.477600,599140.963567,-715.736438,7468.187186
80.000000,6641271.815326,606608.345598,-724.662275,7467.382031
81.000000,6640538.228001,614074.912422,-733.587325,7466.566824
82.000000,6639795.716422,621540.653987,-742.511579,7465.741566
83.000000,6639044.281395,629005.560243,-751.435026,7464.906256
84.000000,6638283.923738,636469.621139,-760.357658,7464.060896
85.000000,6637514.644275,643932.826624,-769.279462,7463.205485
86.000000,6636736.443844,651395.166649,-778.200431,7462.340025
87.000000,6635949.323291,658856.631165,-787.120553,7461.464516
88.000000,6635153.283472,666317.210123,-796.039819,7460.578958
89.000000,6634348.325252,673776.893475,-804.958220,7459.683352
90.000000,6633534.449508,681235.671173,-813.875744,7458.777698
91.000000,6632711.657126,688693.533170,-822.792382,7457.861997
92.000000,6631879.949001,696150.469420,-831.708124,7456.936250
93.000000,6631039.326040,703606.469877,-840.622961,7456.000457
94.000000,6630189.789159,711061.524496,-849.536882,7455.054619
95.000000,6629331.339282,718515.623231,-858.449877,7454.098735
96.000000,6628463.977345,725968.756039,-867.361937,7453.132808
97.000000,6627587.704295,733420.912875,-876.273050,7452.156836
98.000000,6626702.521086,740872.083697,-885.183209,7451.170822
99.000000,6625808.428684,748322.258463,-894.092402,7450.174765
100.000000,6624905.428064,755771.427129,-903.000620,7449.168666
101.000000,6623993.520212,763219.579655,-911.907852,7448.152526
102.000000,6623072.706123,770666.706001,-920.814089,7447.126346
103.000000,6622142.986803,778112.796126,-929.719321,7446.090125
104.000000,6621204.363266,785557.839991,-938.623537,7445.043865
